strana,priemerný vek,najmladší kandidát,najstarší kandidát
SNK,40,21,64
PS/Spolu,41,21,67
Sme rodina,41.6,21,65
Za ľudí,42.8,21,73
SaS,43,21,72
Máme toho dosť,43.3,21,64
MKS,43.4,22,70
Dobrá voľba,44,21,72
ĽSNS,44.9,23,80
SHO,45,24,67
Socialisti,45.3,21,75
Hlas pravice,45.8,22,70
OĽaNO,46.5,22,76
Vlasť,47,21,75
Most-Híd,47.7,23,68
SNS,48,23,68
KDH,48.2,22,78
Hlas ľudu,48.9,22,66
DS,48.9,24,74
Smer,50.3,23,75
Solidarita,50.5,21,91
99 percent,52.5,27,74
Slovenská liga,54.8,25,77
SĽS,55.8,23,81
PSN,57.1,33,75